x,y,z,field
0.0,-2.220446049250313e-16,-27.0,-0.01
0.0,0.3749999999999998,-27.0,-0.01
0.0,0.7499999999999998,-27.0,-0.01
0.375,-0.7500000000000002,-27.0,-0.013
0.375,-0.3750000000000002,-27.0,-0.013
0.375,-2.220446049250313e-16,-27.0,-0.013
0.375,0.3749999999999998,-27.0,-0.013
0.375,0.7499999999999998,-27.0,-0.013
0.75,-0.7500000000000002,-27.0,-0.014
0.75,-0.3750000000000002,-27.0,-0.014
0.75,-2.220446049250313e-16,-27.0,-0.014
0.75,0.3749999999999998,-27.0,-0.014
0.75,0.7499999999999998,-27.0,-0.014
-0.75,-0.7500000000000002,-25.5,-0.008
-0.75,-0.3750000000000002,-25.5,-0.007
-0.75,-2.220446049250313e-16,-25.5,-0.007
-0.75,0.3749999999999998,-25.5,-0.007
-0.75,0.7499999999999998,-25.5,-0.007
-0.375,-0.7500000000000002,-25.5,-0.009
-0.375,-0.3750000000000002,-25.5,-0.009
-0.375,-2.220446049250313e-16,-25.5,-0.009
-0.375,0.3749999999999998,-25.5,-0.009
-0.375,0.7499999999999998,-25.5,-0.009
0.0,-0.7500000000000002,-25.5,-0.01
0.0,-0.3750000000000002,-25.5,-0.01
0.0,-2.220446049250313e-16,-25.5,-0.01
0.0,0.3749999999999998,-25.5,-0.01
0.0,0.7499999999999998,-25.5,-0.01
0.375,-0.7500000000000002,-25.5,-0.014
0.375,-0.3750000000000002,-25.5,-0.014
0.375,-2.220446049250313e-16,-25.5,-0.014
0.375,0.3749999999999998,-25.5,-0.014
0.375,0.7499999999999998,-25.5,-0.013
0.75,-0.7500000000000002,-25.5,-0.015
0.75,-0.3750000000000002,-25.5,-0.015
0.75,-2.220446049250313e-16,-25.5,-0.015
0.75,0.3749999999999998,-25.5,-0.015
0.75,0.7499999999999998,-25.5,-0.015
-0.75,-0.7500000000000002,-24.0,-0.007
-0.75,-0.3750000000000002,-24.0,-0.007
-0.75,-2.220446049250313e-16,-24.0,-0.007
-0.75,0.3749999999999998,-24.0,-0.007
-0.75,0.7499999999999998,-24.0,-0.005
-0.375,-0.7500000000000002,-24.0,-0.008
-0.375,-0.3750000000000002,-24.0,-0.008
-0.375,-2.220446049250313e-16,-24.0,-0.008
-0.375,0.3749999999999998,-24.0,-0.008
-0.375,0.7499999999999998,-24.0,-0.008
0.0,-0.7500000000000002,-24.0,-0.01
0.0,-0.3750000000000002,-24.0,-0.01
0.0,-2.220446049250313e-16,-24.0,-0.01
0.0,0.3749999999999998,-24.0,-0.01
0.0,0.7499999999999998,-24.0,-0.01
0.375,-0.7500000000000002,-24.0,-0.014
0.375,-0.3750000000000002,-24.0,-0.014
0.375,-2.220446049250313e-16,-24.0,-0.014
0.375,0.3749999999999998,-24.0,-0.014
0.375,0.7499999999999998,-24.0,-0.014
0.75,-0.7500000000000002,-24.0,-0.016
0.75,-0.3750000000000002,-24.0,-0.016
0.75,-2.220446049250313e-16,-24.0,-0.016
0.75,0.3749999999999998,-24.0,-0.016
0.75,0.7499999999999998,-24.0,-0.015
-0.75,-0.7500000000000002,-22.5,-0.004
-0.75,-0.3750000000000002,-22.5,-0.004
-0.75,-2.220446049250313e-16,-22.5,-0.004
-0.75,0.3749999999999998,-22.5,-0.004
-0.75,0.7499999999999998,-22.5,-0.004
-0.375,-0.7500000000000002,-22.5,-0.008
-0.375,-0.3750000000000002,-22.5,-0.008
-0.375,-2.220446049250313e-16,-22.5,-0.008
-0.375,0.3749999999999998,-22.5,-0.008
-0.375,0.7499999999999998,-22.5,-0.008
0.0,-0.7500000000000002,-22.5,-0.01
0.0,-0.3750000000000002,-22.5,-0.01
0.0,-2.220446049250313e-16,-22.5,-0.01
0.0,0.3749999999999998,-22.5,-0.01
0.0,0.7499999999999998,-22.5,-0.01
0.375,-0.7500000000000002,-22.5,-0.015
0.375,-0.3750000000000002,-22.5,-0.015
0.375,-2.220446049250313e-16,-22.5,-0.014
0.375,0.3749999999999998,-22.5,-0.014
0.375,0.7499999999999998,-22.5,-0.014
0.75,-0.7500000000000002,-22.5,-0.018
0.75,-0.3750000000000002,-22.5,-0.018
0.75,-2.220446049250313e-16,-22.5,-0.018
0.75,0.3749999999999998,-22.5,-0.018
0.75,0.7499999999999998,-22.5,-0.016
-0.75,-0.7500000000000002,-21.0,-0.003
-0.75,-0.3750000000000002,-21.0,-0.002
-0.75,-2.220446049250313e-16,-21.0,-0.002
-0.75,0.3749999999999998,-21.0,-0.002
-0.75,0.7499999999999998,-21.0,-0.002
-0.375,-0.7500000000000002,-21.0,-0.007
-0.375,-0.3750000000000002,-21.0,-0.007
-0.375,-2.220446049250313e-16,-21.0,-0.005
-0.375,0.3749999999999998,-21.0,-0.005
-0.375,0.7499999999999998,-21.0,-0.005
0.0,-0.7500000000000002,-21.0,-0.01
0.0,-0.3750000000000002,-21.0,-0.01
0.0,-2.220446049250313e-16,-21.0,-0.01
0.0,0.3749999999999998,-21.0,-0.01
0.0,0.7499999999999998,-21.0,-0.01
0.375,-0.7500000000000002,-21.0,-0.015
0.375,-0.3750000000000002,-21.0,-0.015
0.375,-2.220446049250313e-16,-21.0,-0.015
0.375,0.3749999999999998,-21.0,-0.015
0.375,0.7499999999999998,-21.0,-0.015
0.75,-0.7500000000000002,-21.0,-0.019
0.75,-0.3750000000000002,-21.0,-0.019
0.75,-2.220446049250313e-16,-21.0,-0.019
0.75,0.3749999999999998,-21.0,-0.019
0.75,0.7499999999999998,-21.0,-0.019
-0.75,-0.7500000000000002,-19.5,0.002
-0.75,-0.3750000000000002,-19.5,0.002
-0.75,-2.220446049250313e-16,-19.5,0.002
-0.75,0.3749999999999998,-19.5,0.002
-0.75,0.7499999999999998,-19.5,0.002
-0.375,-0.7500000000000002,-19.5,-0.004
-0.375,-0.3750000000000002,-19.5,-0.004
-0.375,-2.220446049250313e-16,-19.5,-0.004
-0.375,0.3749999999999998,-19.5,-0.004
-0.375,0.7499999999999998,-19.5,-0.004
0.0,-0.7500000000000002,-19.5,-0.01
0.0,-0.3750000000000002,-19.5,-0.01
0.0,-2.220446049250313e-16,-19.5,-0.01
0.0,0.3749999999999998,-19.5,-0.01
0.0,0.7499999999999998,-19.5,-0.009
0.375,-0.7500000000000002,-19.5,-0.018
0.375,-0.3750000000000002,-19.5,-0.018
0.375,-2.220446049250313e-16,-19.5,-0.018
0.375,0.3749999999999998,-19.5,-0.016
0.375,0.7499999999999998,-19.5,-0.016
0.75,-0.7500000000000002,-19.5,-0.023
0.75,-0.3750000000000002,-19.5,-0.023
0.75,-2.220446049250313e-16,-19.5,-0.023
0.75,0.3749999999999998,-19.5,-0.023
0.75,0.7499999999999998,-19.5,-0.023
-0.75,-0.7500000000000002,-18.0,0.008
-0.75,-0.3750000000000002,-18.0,0.008
-0.75,-2.220446049250313e-16,-18.0,0.009
-0.75,0.3749999999999998,-18.0,0.009
-0.75,0.7499999999999998,-18.0,0.009
-0.375,-0.7500000000000002,-18.0,0.0
-0.375,-0.3750000000000002,-18.0,0.0
-0.375,-2.220446049250313e-16,-18.0,0.0
-0.375,0.3749999999999998,-18.0,0.001
-0.375,0.7499999999999998,-18.0,0.001
0.0,-0.7500000000000002,-18.0,-0.01
0.0,-0.3750000000000002,-18.0,-0.01
0.0,-2.220446049250313e-16,-18.0,-0.009
0.0,0.3749999999999998,-18.0,-0.009
0.0,0.7499999999999998,-18.0,-0.009
0.375,-0.7500000000000002,-18.0,-0.02
0.375,-0.3750000000000002,-18.0,-0.02
0.375,-2.220446049250313e-16,-18.0,-0.02
0.375,0.3749999999999998,-18.0,-0.02
0.375,0.7499999999999998,-18.0,-0.019
0.75,-0.7500000000000002,-18.0,-0.029
0.75,-0.3750000000000002,-18.0,-0.029
0.75,-2.220446049250313e-16,-18.0,-0.029
0.75,0.3749999999999998,-18.0,-0.029
0.75,0.7499999999999998,-18.0,-0.028
-0.75,-0.7500000000000002,-16.5,0.018
-0.75,-0.3750000000000002,-16.5,0.019
-0.75,-2.220446049250313e-16,-16.5,0.021
-0.75,0.3749999999999998,-16.5,0.021
-0.75,0.7499999999999998,-16.5,0.021
-0.375,-0.7500000000000002,-16.5,0.004
-0.375,-0.3750000000000002,-16.5,0.006
-0.375,-2.220446049250313e-16,-16.5,0.006
-0.375,0.3749999999999998,-16.5,0.007
-0.375,0.7499999999999998,-16.5,0.007
0.0,-0.7500000000000002,-16.5,-0.01
0.0,-0.3750000000000002,-16.5,-0.009
0.0,-2.220446049250313e-16,-16.5,-0.009
0.0,0.3749999999999998,-16.5,-0.009
0.0,0.7499999999999998,-16.5,-0.008
0.375,-0.7500000000000002,-16.5,-0.026
0.375,-0.3750000000000002,-16.5,-0.025
0.375,-2.220446049250313e-16,-16.5,-0.025
0.375,0.3749999999999998,-16.5,-0.025
0.375,0.7499999999999998,-16.5,-0.024
0.75,-0.7500000000000002,-16.5,-0.039
0.75,-0.3750000000000002,-16.5,-0.039
0.75,-2.220446049250313e-16,-16.5,-0.039
0.75,0.3749999999999998,-16.5,-0.038
0.75,0.7499999999999998,-16.5,-0.038
-0.75,-0.7500000000000002,-15.0,0.034
-0.75,-0.3750000000000002,-15.0,0.034
-0.75,-2.220446049250313e-16,-15.0,0.036
-0.75,0.3749999999999998,-15.0,0.037
-0.75,0.7499999999999998,-15.0,0.038
-0.375,-0.7500000000000002,-15.0,0.012
-0.375,-0.3750000000000002,-15.0,0.013
-0.375,-2.220446049250313e-16,-15.0,0.014
-0.375,0.3749999999999998,-15.0,0.016
-0.375,0.7499999999999998,-15.0,0.016
0.0,-0.7500000000000002,-15.0,-0.01
0.0,-0.3750000000000002,-15.0,-0.009
0.0,-2.220446049250313e-16,-15.0,-0.008
0.0,0.3749999999999998,-15.0,-0.008
0.0,0.7499999999999998,-15.0,-0.007
0.375,-0.7500000000000002,-15.0,-0.034
0.375,-0.3750000000000002,-15.0,-0.034
0.375,-2.220446049250313e-16,-15.0,-0.033
0.375,0.3749999999999998,-15.0,-0.031
0.375,0.7499999999999998,-15.0,-0.03
0.75,-0.7500000000000002,-15.0,-0.055
0.75,-0.3750000000000002,-15.0,-0.054
0.75,-2.220446049250313e-16,-15.0,-0.054
0.75,0.3749999999999998,-15.0,-0.053
0.75,0.7499999999999998,-15.0,-0.051
-0.75,-0.7500000000000002,-13.5,0.049
-0.75,-0.3750000000000002,-13.5,0.051
-0.75,-2.220446049250313e-16,-13.5,0.052
-0.75,0.3749999999999998,-13.5,0.054
-0.75,0.7499999999999998,-13.5,0.055
-0.375,-0.7500000000000002,-13.5,0.019
-0.375,-0.3750000000000002,-13.5,0.021
-0.375,-2.220446049250313e-16,-13.5,0.023
-0.375,0.3749999999999998,-13.5,0.024
-0.375,0.7499999999999998,-13.5,0.026
0.0,-0.7500000000000002,-13.5,-0.013
0.0,-0.3750000000000002,-13.5,-0.01
0.0,-2.220446049250313e-16,-13.5,-0.009
0.0,0.3749999999999998,-13.5,-0.008
0.0,0.7499999999999998,-13.5,-0.007
0.375,-0.7500000000000002,-13.5,-0.044
0.375,-0.3750000000000002,-13.5,-0.043
0.375,-2.220446049250313e-16,-13.5,-0.041
0.375,0.3749999999999998,-13.5,-0.04
0.375,0.7499999999999998,-13.5,-0.039
