,x,y,z,field
0,-0.6000000000000001,-0.6000000000000001,-20.003125,-0.005
1,-0.6000000000000001,-0.4000000000000001,-20.003125,-0.008
2,-0.6000000000000001,-0.20000000000000007,-20.003125,-0.009
3,-0.6000000000000001,-5.551115123125783e-17,-20.003125,-0.01
4,-0.6000000000000001,0.19999999999999996,-20.003125,-0.013
5,-0.6000000000000001,0.39999999999999997,-20.003125,-0.014
6,-0.6000000000000001,0.6,-20.003125,-0.015
7,-0.4000000000000001,-0.6000000000000001,-20.003125,-0.007
8,-0.4000000000000001,-0.4000000000000001,-20.003125,-0.008
9,-0.4000000000000001,-0.20000000000000007,-20.003125,-0.009
10,-0.4000000000000001,-5.551115123125783e-17,-20.003125,-0.01
11,-0.4000000000000001,0.19999999999999996,-20.003125,-0.013
12,-0.4000000000000001,0.39999999999999997,-20.003125,-0.014
13,-0.4000000000000001,0.6,-20.003125,-0.015
14,-0.20000000000000007,-0.6000000000000001,-20.003125,-0.007
15,-0.20000000000000007,-0.4000000000000001,-20.003125,-0.008
16,-0.20000000000000007,-0.20000000000000007,-20.003125,-0.009
17,-0.20000000000000007,-5.551115123125783e-17,-20.003125,-0.01
18,-0.20000000000000007,0.19999999999999996,-20.003125,-0.013
19,-0.20000000000000007,0.39999999999999997,-20.003125,-0.014
20,-0.20000000000000007,0.6,-20.003125,-0.015
21,-5.551115123125783e-17,-0.6000000000000001,-20.003125,-0.007
22,-5.551115123125783e-17,-0.4000000000000001,-20.003125,-0.008
23,-5.551115123125783e-17,-0.20000000000000007,-20.003125,-0.009
24,-5.551115123125783e-17,-5.551115123125783e-17,-20.003125,-0.01
25,-5.551115123125783e-17,0.19999999999999996,-20.003125,-0.013
26,-5.551115123125783e-17,0.39999999999999997,-20.003125,-0.014
27,-5.551115123125783e-17,0.6,-20.003125,-0.015
28,0.19999999999999996,-0.6000000000000001,-20.003125,-0.007
29,0.19999999999999996,-0.4000000000000001,-20.003125,-0.008
30,0.19999999999999996,-0.20000000000000007,-20.003125,-0.009
31,0.19999999999999996,-5.551115123125783e-17,-20.003125,-0.01
32,0.19999999999999996,0.19999999999999996,-20.003125,-0.013
33,0.19999999999999996,0.39999999999999997,-20.003125,-0.014
34,0.19999999999999996,0.6,-20.003125,-0.015
35,0.39999999999999997,-0.6000000000000001,-20.003125,-0.007
36,0.39999999999999997,-0.4000000000000001,-20.003125,-0.008
37,0.39999999999999997,-0.20000000000000007,-20.003125,-0.009
38,0.39999999999999997,-5.551115123125783e-17,-20.003125,-0.01
39,0.39999999999999997,0.19999999999999996,-20.003125,-0.013
