x,y,z,field
-0.75,-0.75,-20.003125000000008,-0.004
-0.75,-0.375,-20.003125000000008,-0.007
-0.75,0.0,-20.003125000000008,-0.009
-0.75,0.375,-20.003125000000008,-0.013
-0.75,0.75,-20.003125000000008,-0.015
-0.375,-0.75,-20.003125000000008,-0.005
-0.375,-0.375,-20.003125000000008,-0.008
-0.375,0.0,-20.003125000000008,-0.01
-0.375,0.375,-20.003125000000008,-0.014
-0.375,0.75,-20.003125000000008,-0.016
0.0,-0.75,-20.003125000000008,-0.005
0.0,-0.375,-20.003125000000008,-0.008
0.0,0.0,-20.003125000000008,-0.01
0.0,0.375,-20.003125000000008,-0.014
0.0,0.75,-20.003125000000008,-0.016
0.375,-0.75,-20.003125000000008,-0.005
0.375,-0.375,-20.003125000000008,-0.008
0.375,0.0,-20.003125000000008,-0.01
0.375,0.375,-20.003125000000008,-0.014
0.375,0.75,-20.003125000000008,-0.016
0.75,-0.75,-20.003125000000008,-0.004
0.75,-0.375,-20.003125000000008,-0.007
0.75,0.0,-20.003125000000008,-0.009
0.75,0.375,-20.003125000000008,-0.013
0.75,0.75,-20.003125000000008,-0.015
-0.75,-0.75,-19.003125000000008,-0.003
-0.75,-0.375,-19.003125000000008,-0.007
-0.75,0.0,-19.003125000000008,-0.009
-0.75,0.375,-19.003125000000008,-0.014
-0.75,0.75,-19.003125000000008,-0.016
-0.375,-0.75,-19.003125000000008,-0.004
-0.375,-0.375,-19.003125000000008,-0.007
-0.375,0.0,-19.003125000000008,-0.01
-0.375,0.375,-19.003125000000008,-0.014
-0.375,0.75,-19.003125000000008,-0.016
0.0,-0.75,-19.003125000000008,-0.004
0.0,-0.375,-19.003125000000008,-0.008
0.0,0.0,-19.003125000000008,-0.01
0.0,0.375,-19.003125000000008,-0.014
0.0,0.75,-19.003125000000008,-0.018
0.375,-0.75,-19.003125000000008,-0.004
0.375,-0.375,-19.003125000000008,-0.007
0.375,0.0,-19.003125000000008,-0.01
0.375,0.375,-19.003125000000008,-0.014
0.375,0.75,-19.003125000000008,-0.016
0.75,-0.75,-19.003125000000008,-0.004
0.75,-0.375,-19.003125000000008,-0.007
0.75,0.0,-19.003125000000008,-0.009
0.75,0.375,-19.003125000000008,-0.014
0.75,0.75,-19.003125000000008,-0.016
-0.75,-0.75,-18.003125000000008,-0.002
-0.75,-0.375,-18.003125000000008,-0.005
-0.75,0.0,-18.003125000000008,-0.009
-0.75,0.375,-18.003125000000008,-0.014
-0.75,0.75,-18.003125000000008,-0.018
-0.375,-0.75,-18.003125000000008,-0.003
-0.375,-0.375,-18.003125000000008,-0.007
-0.375,0.0,-18.003125000000008,-0.01
-0.375,0.375,-18.003125000000008,-0.015
-0.375,0.75,-18.003125000000008,-0.018
0.0,-0.75,-18.003125000000008,-0.003
0.0,-0.375,-18.003125000000008,-0.007
0.0,0.0,-18.003125000000008,-0.01
0.0,0.375,-18.003125000000008,-0.015
0.0,0.75,-18.003125000000008,-0.019
0.375,-0.75,-18.003125000000008,-0.003
0.375,-0.375,-18.003125000000008,-0.007
0.375,0.0,-18.003125000000008,-0.01
0.375,0.375,-18.003125000000008,-0.014
0.375,0.75,-18.003125000000008,-0.018
0.75,-0.75,-18.003125000000008,-0.002
0.75,-0.375,-18.003125000000008,-0.005
0.75,0.0,-18.003125000000008,-0.009
0.75,0.375,-18.003125000000008,-0.014
0.75,0.75,-18.003125000000008,-0.018
-0.75,-0.75,-17.003125000000008,0.001
-0.75,-0.375,-17.003125000000008,-0.004
-0.75,0.0,-17.003125000000008,-0.009
-0.75,0.375,-17.003125000000008,-0.014
-0.75,0.75,-17.003125000000008,-0.019
-0.375,-0.75,-17.003125000000008,0.0
-0.375,-0.375,-17.003125000000008,-0.005
-0.375,0.0,-17.003125000000008,-0.01
-0.375,0.375,-17.003125000000008,-0.015
-0.375,0.75,-17.003125000000008,-0.02
0.0,-0.75,-17.003125000000008,0.0
0.0,-0.375,-17.003125000000008,-0.005
0.0,0.0,-17.003125000000008,-0.01
0.0,0.375,-17.003125000000008,-0.016
0.0,0.75,-17.003125000000008,-0.02
0.375,-0.75,-17.003125000000008,0.0
0.375,-0.375,-17.003125000000008,-0.005
0.375,0.0,-17.003125000000008,-0.009
0.375,0.375,-17.003125000000008,-0.015
0.375,0.75,-17.003125000000008,-0.02
0.75,-0.75,-17.003125000000008,0.001
0.75,-0.375,-17.003125000000008,-0.004
0.75,0.0,-17.003125000000008,-0.009
0.75,0.375,-17.003125000000008,-0.014
0.75,0.75,-17.003125000000008,-0.019
-0.75,-0.75,-16.003125000000008,0.003
