,x,y,z,field
0,0.0,-1.5,65.0,0.274
1,0.0,-1.2,65.0,0.27
2,0.0,-0.8999999999999999,65.0,0.267
3,0.0,-0.5999999999999999,65.0,0.265
4,0.0,-0.2999999999999999,65.0,0.264
5,0.0,1.1102230246251565e-16,65.0,0.264
6,0.0,0.3000000000000001,65.0,0.264
7,0.0,0.6000000000000001,65.0,0.265
8,0.0,0.9000000000000001,65.0,0.267
9,0.0,1.2000000000000002,65.0,0.269
10,0.0,1.5000000000000002,65.0,0.273
