x,y,z,field
-20.002500000000005,0.0,65.0,0.272
-19.002500000000005,0.0,65.0,0.273
-18.002500000000005,0.0,65.0,0.273
-17.002500000000005,0.0,65.0,0.273
-16.002500000000005,0.0,65.0,0.273
-15.002500000000005,0.0,65.0,0.273
-14.002500000000005,0.0,65.0,0.272
-13.002500000000005,0.0,65.0,0.272
-12.002500000000005,0.0,65.0,0.271
-11.002500000000005,0.0,65.0,0.271
-10.002500000000005,0.0,65.0,0.271
-9.002500000000005,0.0,65.0,0.27
-8.002500000000005,0.0,65.0,0.27
-7.002500000000005,0.0,65.0,0.269
-6.002500000000005,0.0,65.0,0.269
-5.002500000000005,0.0,65.0,0.268
-4.002500000000005,0.0,65.0,0.268
-3.002500000000005,0.0,65.0,0.267
-2.002500000000005,0.0,65.0,0.267
-1.0025000000000048,0.0,65.0,0.266
-0.0025000000000048317,0.0,65.0,0.264
0.9974999999999952,0.0,65.0,0.262
1.9974999999999952,0.0,65.0,0.262
2.997499999999995,0.0,65.0,0.262
3.997499999999995,0.0,65.0,0.261
4.997499999999995,0.0,65.0,0.261
5.997499999999995,0.0,65.0,0.26
6.997499999999995,0.0,65.0,0.26
7.997499999999995,0.0,65.0,0.259
8.997499999999995,0.0,65.0,0.259
9.997499999999995,0.0,65.0,0.258
10.997499999999995,0.0,65.0,0.258
11.997499999999995,0.0,65.0,0.257
12.997499999999995,0.0,65.0,0.257
13.997499999999995,0.0,65.0,0.256
14.997499999999995,0.0,65.0,0.256
15.997499999999995,0.0,65.0,0.255
16.997499999999995,0.0,65.0,0.254
17.997499999999995,0.0,65.0,0.255
18.997499999999995,0.0,65.0,0.261
19.997499999999995,0.0,65.0,0.318
